X,Y,Z,Strata
40783.5031,69456.8902,186.1546317,3
41055.16491,69713.25361,96.63619181,3
41129.10365,68922.77527,-104.3478978,5
40800.05495,69543.68134,-123.6003277,6
40432.5121,70239.84719,-35.25516281,7
40541.40885,69902.09503,236.3464346,4
40559.85823,70360.61265,-188.5806873,7
40893.84485,69388.91397,-149.9559197,6
41127.74629,68913.17398,174.5029835,1
40711.77066,69515.7263,28.60545006,5
40804.87679,69671.08341,113.8277131,4
40817.76987,69704.95862,253.5093862,3
40675.87321,69379.43183,106.5309964,4
40893.70778,69008.37529,97.99047362,3
40549.13898,70181.80608,37.86397468,6
40883.14786,69503.06663,253.5245448,2
40930.0206,70402.49955,-26.0246628,5
40605.7345,69717.18218,142.463748,5
40769.34597,69490.54766,-37.66382984,5
40395.30362,69687.10729,-171.1825299,7
40740.27839,70461.64519,257.3357538,3
40803.58916,69670.75879,161.2153943,4
40647.92775,70528.1029,309.102364,3
40504.15157,70622.2207,-6.707135753,6
40498.62594,69300.54683,384.184864,1
40493.91825,70520.85097,64.45022548,5
40261.9731,70430.56564,159.9713777,5
40485.95119,69706.72992,235.0492261,4
40920.70904,69002.58443,225.0184318,1
40797.22817,69576.02177,49.8627065,5
40617.92271,69468.68888,251.2192584,3
40628.3599,70162.22826,214.9607961,4
40741.32451,70352.81938,146.8650493,4
41055.87484,69723.45271,-45.10840931,5
40801.3288,69411.00693,192.1091187,3
40608.7656,70702.19383,313.7661816,3
40557.08056,70480.48158,306.2026673,3
40111.1846,69763.71046,28.44858115,6
40116.52,69758.49,456.7323597,2
40439.1503,70477.92295,-73.95513201,7
40673.20885,70238.6149,-62.13103767,6
40413.16811,69503.0198,309.3472593,3
40410.5,70297.13,67.18084215,6
40625.53007,70045.18883,-114.994654,7
40624.25447,70166.97697,207.1242577,4
40569.15091,70352.18155,195.7679384,5
40626.0636,70245.54923,209.9571109,4
40556.6732,69675.63743,-122.9020527,7
40827.30874,70273.65847,56.14369934,5
40183.0275,70141.57293,25.48455229,7
40921.63866,69800.54331,-84.9469507,6
40817.16922,69986.5476,-9.151153818,5
41102.33724,69190.58222,-139.8941219,5
40724.44913,69862.00567,-12.54634613,6
40246.3,70380.67,-198.2108254,7
40631.97416,70631.85744,-145.686849,7
40627.91343,70286.65423,130.4109928,5
40970.22843,69493.42172,-7.242855847,4
40983.26253,69382.45683,67.07294192,3
40985.52677,69387.34254,-43.99660714,4
40606.33821,70243.11098,-33.05696411,6
40845.0378,70631.62863,285.7687396,2
40266.72655,69590.71393,493.043475,1
40627.91596,70160.71084,-162.2687259,7
40722.78974,70003.94312,-15.38461538,6
41006.69421,69806.78926,-140.0059057,6
40634.33839,70628.41812,386.5861072,2
40630.30331,70040.96042,156.1588793,5
40271.97711,69592.83381,127.1970215,5
40676.16759,69912.81909,12.17420784,6
40943.27607,70811.87191,239.2539064,2
40776.52254,69466.79465,-49.19526682,5
40796.97867,69568.24389,-147.2381954,6
41002.11693,69176.32142,-145.7988006,6
40630.03383,70453.44926,45.47739427,5
40553.11851,70281.96942,76.57623181,5
40625.73453,70281.48885,46.15384615,5
40409.45908,70188.56373,115.6983477,6
40412.6548,70309.88763,-173.3474566,7
40927.94094,70008.01432,-200,6
40525.75637,70894.26942,507.1868209,1
40770.1943,70139.49359,8.90442345,5
40993.60753,69135.46532,211.9521785,1
40907.9216,70850.98339,-81.44710038,5
40521.81848,70898.39111,289.692592,3
40259.83377,70425.60464,-75.21604947,7
40112.86902,69758.06708,110.8502821,6
40563.22295,70289.3949,11.13169294,6
41041.728,69241.643,176.1430532,2
40743.99645,70564.41162,345.0271711,2
40580.57134,69898.47776,149.735994,5
40957.61682,68932.79645,185.2318342,1
40042.74837,70628.40086,310.3848139,4
40565.0221,70492.23812,95.47251331,5
40680.9576,69399.01265,304.8544977,2
40540.7447,69902.38156,32.06477389,6
40546.29337,69897.28406,84.47967159,6
40419.54853,69422.17598,-13.60039677,6
40499.38118,69626.17912,5.838459264,6
40390.03428,69546.67488,117.5296708,5
41319.54,70400.3,308.4058418,1
40499.29751,69624.23784,-116.76139,7
40401.70717,69954.05119,-51.44046533,7
40355.1314,69468.68991,22.85906609,6
40666.18631,70235.78253,91.03728533,5
41108.60071,69185.3006,-95.21524333,5
40225.87,70297.35,166.9790177,6
40318.35653,69416.70293,156.4245173,5
40624.12,70245.99,-91.47179181,7
40354.66935,69479.73207,415.2894896,2
40905.22153,69603.87057,114.1324675,4
41047.28056,69717.41632,53.46354116,3
40717.89347,69868.13888,-78.47677228,6
40838.88514,70629.65182,69.54646514,5
40232.58459,70289.22908,-152.9205736,7
41005.17696,68955.26149,59.6986246,3
40627.67742,70445.81095,165.2057962,5
41040.57084,69238.7362,22.66690484,3
40856.54327,69351.20856,-182.5042482,6
40261.996,70425.10324,214.1071807,5
40639.67545,69551.19425,23.37195512,5
40840.60625,70626.52146,124.3867436,4
40767.85477,69484.32581,-142.172105,6
41100.13993,69175.54006,260.5663902,1
40680.67637,69401.87081,260.6319527,3
41038.78718,69231.92967,-70.74940859,5
40432.21093,69646.68011,-91.66176031,7
40797.02962,69413.70464,180.4161583,3
40641.03277,70388.40209,277.7457182,3
40626.7063,70242.53306,-174.3758682,7
40771.20434,70141.2427,-67.44199373,6
40792.35297,70275.51724,-6.775203674,5
40829.01253,70349.58435,206.5775666,3
40557.56088,69672.40481,-163.3023755,7
40998.70035,69012.9532,302.068695,1
40820.77461,69985.46766,-33.80805203,6
40837.42501,70631.84809,53.94307054,5
40680.89789,69399.48001,205.6489774,3
40625.87321,70044.08861,184.0132312,5
40628.12913,70162.05815,-190.6987126,7
40540.33803,69843.61524,-43.66640006,7
40738.50503,70460.6042,332.9841201,2
40730.93496,70352.65911,-181.4941078,7
40830.6304,70172.87642,125.8413,4
40723.19965,69862.9739,258.7162929,3
40908.75697,70845.04031,241.3337746,2
40361.69421,69619.97057,132.1763315,5
40626.57846,70241.75247,-150.5061211,7
40458.97877,69532.30843,415.226532,2
40804.92477,69845.91527,55.85580196,5
40427.69981,70387.639,231.4085059,5
40410.72406,70152.54046,133.5289623,6
40725.0687,69407.17735,76.36071259,5
40632.88456,69739.68103,-198.0886721,7
41051.84879,69718.85308,-198.7732241,6
40644.42703,69549.42413,128.2051282,5
41042.73393,69239.81005,198.2731789,2
41098.84413,69425.04887,42.46471604,3
40461.69932,69534.68385,226.7418472,4
40628.05733,70244.20741,105.3563177,5
40551.75294,70179.33006,111.9034042,5
40593.23077,70754.63766,300.6400688,3
40637.84063,69554.30734,166.2267932,4
40681.45707,69622.83426,155.305101,4
40505.40251,70828.85548,188.7157246,4
40929.75186,70400.56193,-188.4389686,6
40475.27053,70503.86,67.82813734,5
40435.89427,70236.98898,162.4493078,5
40520.87967,70894.29032,38.95751799,5
40266.88,70466.19,206.7524357,5
40548.48598,70181.22148,-117.7581265,7
41314.18935,70399.5044,-142.268706,6
40637.87013,70384.35516,72.21437262,5
40838.3752,70780.98201,162.3083179,4
40648.89333,70371.84833,-161.8244241,7
40268.61837,70464.59142,-166.72991,7
41039.69613,70323.45178,-74.01415873,5
40398.52874,69559.00007,20.47611613,6
40637.95732,70625.08764,207.901847,4
40740.582,70564.59571,122.5558604,5
40416.68014,70299.74007,-16.60108723,7
40494.17338,70784.68244,49.52405551,5
40713.55147,69521.26288,-58.03022659,6
40675.54916,70240.9871,-133.3130263,7
40336.73603,69577.16868,10.05064258,6
40675.07078,70239.47452,-92.45197825,6
40654.51254,70529.0314,332.8469884,2
41045.92642,68982.23047,107.6923077,2
40630.69857,70171.30534,-58.29684938,6
40498.27221,70546.74625,-66.06209767,6
41000.93905,69142.32745,-60.35038802,4
40419.97971,69759.35032,94.26777015,5
40430.71193,70479.84561,134.3062666,5
40281.46533,70289.0259,138.1563796,6
40955.77053,68925.68097,210.6062663,1
40703.65677,69721.24322,60.33831977,5
40567.19297,70477.76001,358.5638242,2
41002.96464,69803.9025,30.60751836,4
40719.78721,69800.78095,-138.4615385,7
40797.64266,69592.92248,-138.2410388,6
40436.13636,69643.19113,-179.1502647,7
40486.14361,69705.93038,-134.2322417,7
40567.91289,70580.46742,-138.4615385,7
40637.23746,69746.77894,91.01085572,5
40828.04033,70170.87381,4.947321948,5
40722.16655,69863.55831,240.0685099,4
41051.19131,69718.94787,-97.43589744,6
40496.73894,70519.63793,-28.72150558,6
40414.24868,70118.76124,155.1835788,5
41000.94549,69808.3478,11.3938633,4
40235.89804,70299.32444,129.2225394,6
40815.91773,69988.92516,120.6143366,4
40437.06617,70481.20955,-113.7107374,7
40433.57684,69644.9486,370.2379625,3
40590.43629,69379.48735,49.43622545,5
40460.33767,70557.70977,55.18198108,5
41094.0981,69177.62442,-68.03346479,5
40618.96794,69347.90826,295.8602736,2
40041.54993,70585.15211,-53.31825881,7
40625.15106,70259.32074,217.7502625,4
40486.28844,70785.02058,520.465947,1
40567.24424,70290.72462,144.9185299,5
40609.93655,69945.36265,86.0201476,5
40499.19047,70782.66326,273.6574753,3
40858.46199,69349.55727,-134.060628,6
40556.01422,69672.62812,-179.4871795,7
40918.37801,69803.86455,-85.88116317,6
40677.16122,70348.75804,240.0763755,4
40239.24934,69589.02343,329.9754642,3
40313.07123,69525.35595,166.1037244,5
40520.25326,70896.7255,87.682713,5
40784.19538,69459.37313,-144.8595342,6
40689.97089,69659.52376,229.5166413,4
40963.93982,68916.62466,-50.85921446,4
40406.29884,69543.63562,55.28978331,5
40491.91853,70521.20368,357.0915625,3
40185.43261,70141.11983,252.8723587,5
40735.81918,70570.44244,47.25196832,5
40497.94933,69623.0639,81.84794621,2
40349.01416,69570.14986,374.601342,2
40578.29223,69306.33393,33.52874125,5
40604.12749,69725.30755,-156.6219299,7
40829.76231,69748.72776,220.2269527,3
41063.39606,69073.38757,257.284199,1
40636.63684,69740.23322,231.3897835,4
